Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
747-39-8913,C,Hyderabad,Member,Male,Sports and travel,10.17,1,0.5085,10.6785,02/07/19,14:15:00,Cash,10.17,4.761904762,0.5085,5.9
784-21-9238,C,Mumbai,Member,Male,Sports and travel,10.17,1,0.5085,10.6785,2/7/2019,14:15:00,Cash,10.17,4.761904762,0.5085,5.9
308-39-1707,C,Delhi,Normal,Female,Fashion accessories,12.09,1,0.6045,12.6945,1/26/2019,18:19:00,Cash,12.09,4.761904762,0.6045,8.2
331-98-7546,A,Mumbai,Normal,Male,Fashion accessories,12.09,1,0.6045,12.6945,1/26/2019,18:19:00,Cash,12.09,4.761904762,0.6045,8.2
531-63-1563,C,Delhi,Normal,Female,Fashion accessories,12.09,1,0.6045,12.6945,1/26/2019,18:19:00,Cash,12.09,4.761904762,0.6045,8.2
128-77-6953,A,Mumbai,Normal,Male,Fashion accessories,12.09,1,0.6045,12.6945,1/26/2019,18:19:00,Cash,12.09,4.761904762,0.6045,8.2
279-62-1445,C,Hyderabad,Member,Male,Fashion accessories,12.54,1,0.627,13.167,2/21/2019,12:38:00,Cash,12.54,4.761904762,0.627,8.2
324-44-3901,A,Hyderabad,Member,Male,Food and beverages,12.54,1,0.627,13.167,2/21/2019,12:38:00,Ewallet,12.54,4.761904762,0.627,8.2
192-98-7397,A,Hyderabad,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,1/8/2019,14:11:00,Ewallet,12.78,4.761904762,0.639,9.5
716-38-8338,A,Hyderabad,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,01/08/19,14:11:00,Ewallet,12.78,4.761904762,0.639,9.5
236-86-3015,A,Hyderabad,Member,Male,Home and lifestyle,13.98,1,0.699,14.679,2/4/2019,13:38:00,Ewallet,13.98,4.761904762,0.699,9.8
490-29-1201,A,Mumbai,Normal,Female,Sports and travel,15.34,1,0.767,16.107,1/6/2019,11:09:00,Cash,15.34,4.761904762,0.767,6.5
778-71-5554,C,Hyderabad,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1
593-08-5916,A,Delhi,Normal,Female,Fashion accessories,15.5,1,0.775,16.275,3/19/2019,15:23:00,Cash,15.5,4.761904762,0.775,7.4
489-64-4354,C,Hyderabad,Normal,Male,Fashion accessories,16.28,1,0.814,17.094,3/9/2019,15:36:00,Cash,16.28,4.761904762,0.814,5
689-22-9889,C,Hyderabad,Normal,Male,Fashion accessories,16.28,1,0.814,17.094,03/09/19,15:36:00,Cash,16.28,4.761904762,0.814,5
559-61-5987,B,Mumbai,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,1/14/2019,10:38:00,Cash,17.75,4.761904762,0.8875,8.6
802-43-8934,B,Delhi,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,3/22/2019,15:05:00,Credit card,18.28,4.761904762,0.914,8.3
382-03-4532,A,Delhi,Member,Male,Food and beverages,18.33,1,0.9165,19.2465,2/2/2019,18:50:00,Cash,18.33,4.761904762,0.9165,4.3
750-80-6894,C,Delhi,Member,Male,Food and beverages,18.33,1,0.9165,19.2465,2/2/2019,18:50:00,Cash,18.33,4.761904762,0.9165,4.3
390-80-5128,C,Mumbai,Member,Female,Food and beverages,19.15,1,0.9575,20.1075,1/28/2019,17:58:00,Cash,19.15,4.761904762,0.9575,9.5
707-49-5478,C,Mumbai,Member,Male,Food and beverages,19.15,1,0.9575,20.1075,1/28/2019,17:58:00,Cash,19.15,4.761904762,0.9575,9.5
185-54-5701,A,Delhi,Normal,Male,Fashion accessories,19.7,1,0.985,20.685,2/8/2019,11:39:00,Ewallet,19.7,4.761904762,0.985,9.5
756-49-0168,A,Mumbai,Member,Male,Fashion accessories,19.7,1,0.985,20.685,2/8/2019,11:39:00,Ewallet,19.7,4.761904762,0.985,9.5
896-34-0956,A,Mumbai,Normal,Male,Food and beverages,21.32,1,1.066,22.386,1/26/2019,12:43:00,Cash,21.32,4.761904762,1.066,5.9
106-12-7026,A,Hyderabad,Normal,Male,Food and beverages,21.58,1,1.079,22.659,2/9/2019,10:02:00,Ewallet,21.58,4.761904762,1.079,7.2
746-19-0921,A,Hyderabad,Normal,Male,Food and beverages,21.58,1,1.079,22.659,2/9/2019,10:02:00,Ewallet,21.58,4.761904762,1.079,7.2
803-60-8708,C,Hyderabad,Normal,Male,Sports and travel,22.38,1,1.119,23.499,1/30/2019,17:08:00,Credit card,22.38,4.761904762,1.119,8.6
862-29-5914,C,Mumbai,Normal,Female,Food and beverages,22.38,1,1.119,23.499,1/30/2019,17:08:00,Cash,22.38,4.761904762,1.119,8.6
320-32-8842,C,Hyderabad,Member,Female,Food and beverages,22.62,1,1.131,23.751,3/17/2019,18:58:00,Cash,22.62,4.761904762,1.131,6.4
756-67-2028,C,Hyderabad,Member,Female,Food and beverages,22.62,1,1.131,23.751,3/17/2019,18:58:00,Cash,22.62,4.761904762,1.131,6.4
597-58-5157,C,Hyderabad,Member,Female,Food and beverages,22.62,1,1.131,23.751,3/17/2019,18:58:00,Cash,22.62,4.761904762,1.131,6.4
556-72-8512,C,Hyderabad,Normal,Male,Home and lifestyle,22.96,1,1.148,24.108,1/30/2019,20:47:00,Cash,22.96,4.761904762,1.148,4.3
633-91-1052,A,Mumbai,Normal,Male,Home and lifestyle,12.03,2,1.203,25.263,1/27/2019,15:51:00,Cash,24.06,4.761904762,1.203,5.1
137-42-4232,A,Hyderabad,Normal,Male,Home and lifestyle,12.03,2,1.203,25.263,1/27/2019,15:51:00,Cash,24.06,4.761904762,1.203,
568-88-3448,A,Delhi,Normal,Male,Food and beverages,25,1,1.25,26.25,3/3/2019,15:09:00,Ewallet,25,4.761904762,1.25,5.5
856-22-8149,A,Delhi,Normal,Male,Food and beverages,25.29,1,1.2645,26.5545,3/23/2019,10:13:00,Ewallet,25.29,4.761904762,1.2645,6.1
156-20-0370,B,Mumbai,Normal,Female,Electronic accessories,25.45,1,1.2725,26.7225,3/10/2019,18:10:00,Cash,25.45,4.761904762,1.2725,5.1
719-48-8240,B,Mumbai,Normal,Male,Electronic accessories,25.45,1,1.2725,26.7225,3/10/2019,18:10:00,Credit card,25.45,4.761904762,1.2725,5.1
838-02-1821,C,Mumbai,Member,Female,Home and lifestyle,12.73,2,1.273,26.733,2/22/2019,12:10:00,Cash,25.46,4.761904762,1.273,5.2
330-97-1282,A,Delhi,Member,Male,Sports and travel,12.76,2,1.276,26.796,1/8/2019,18:06:00,Cash,25.52,4.761904762,1.276,7.8
840-76-5966,A,Mumbai,Member,Male,Sports and travel,12.76,2,1.276,26.796,1/8/2019,18:06:00,Cash,25.52,4.761904762,1.276,7.8
750-21-2516,A,Delhi,Member,Male,Sports and travel,12.76,2,1.276,26.796,1/8/2019,18:06:00,Cash,25.52,4.761904762,1.276,7.8
296-11-7041,C,Mumbai,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,1/12/2019,20:07:00,Cash,27.07,4.761904762,1.3535,5.3
269-68-1976,A,Mumbai,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,1/12/2019,20:07:00,Cash,27.07,4.761904762,1.3535,5.3
883-17-4236,C,Mumbai,Normal,Male,Food and beverages,14.39,2,1.439,30.219,3/2/2019,19:44:00,Credit card,28.78,4.761904762,1.439,7.2
421-95-9805,C,Delhi,Normal,Female,Electronic accessories,28.96,1,1.448,30.408,2/7/2019,10:18:00,Cash,28.96,4.761904762,1.448,6.2
832-76-8603,A,Delhi,Normal,Male,Electronic accessories,28.96,1,1.448,30.408,02/07/19,10:18:00,Credit card,28.96,4.761904762,1.448,6.2
436-49-8712,C,Delhi,Normal,Male,Electronic accessories,28.96,1,1.448,30.408,2/7/2019,10:18:00,Cash,28.96,4.761904762,1.448,6.2
764-44-8999,B,Mumbai,Normal,Female,Health and beauty,14.76,2,1.476,30.996,2/18/2019,14:42:00,Cash,29.52,4.761904762,1.476,4.3
549-23-9016,C,Mumbai,Member,Female,Food and beverages,14.87,2,1.487,31.227,2/13/2019,18:15:00,Cash,29.74,4.761904762,1.487,8.9
